Santana C	CLE	C	46	150	23	39	13	0	6	22	37	29	3	0	0.26	0.406	0.467	0.873	0.417	0.598	2
Martinez V	DET	C	1004	3739	509	1120	235	3	131	638	411	482	3	3	0.3	0.369	0.469	0.838	12	12.906	2
Pierzynski A	CWS	C	1365	4852	575	1379	285	16	120	605	207	588	13	19	0.284	0.314	0.424	0.737	2	6.403	2
Wieters M	BAL	C	226	800	72	213	37	2	20	98	75	180	0	1	0.266	0.329	0.393	0.722	0.452	1.924	2
Montero M	ARI	C	373	1136	151	303	74	3	40	160	107	236	1	3	0.267	0.33	0.443	0.773	3.2	2.879	2
Buck J	FLA	C	702	2322	271	565	129	7	90	325	167	611	4	10	0.243	0.294	0.421	0.715	5	3.85	2
Olivo M	SEA	C	866	2876	345	708	142	24	110	388	125	800	44	23	0.246	0.278	0.427	0.705	2.5	2.714	2
Suzuki K	OAK	C	494	1808	210	477	93	4	42	240	129	216	13	7	0.264	0.313	0.389	0.702	3.438	3.427	2
Molina Y	STL	C	805	2680	223	718	122	2	41	325	220	253	21	16	0.268	0.323	0.361	0.684	5.313	6.235	2
McCann B	ATL	C	754	2602	326	752	181	2	112	466	274	399	17	5	0.289	0.357	0.489	0.846	23	8.531	2
Arencibia J	TOR	C	11	35	3	5	1	0	2	4	2	11	0	0	0.143	0.189	0.343	0.532	0.417	0.414	2
Avila A	DET	C	133	355	37	84	16	0	12	45	46	89	2	2	0.237	0.324	0.383	0.707	0.425	0.414	2
Martin R	NYY	C	667	2344	347	638	115	7	54	300	319	370	66	28	0.272	0.359	0.396	0.756	4	9.284	2
Lucroy J	MIL	C	75	277	24	70	9	0	4	26	18	44	4	2	0.253	0.298	0.329	0.627	0.424	0.414	2
Soto G	CHC	C	378	1227	153	329	80	3	54	196	179	300	1	2	0.268	0.361	0.47	0.832	3	5.039	2
Torrealba Y	TEX	C	669	2106	237	542	119	11	45	272	172	415	18	14	0.257	0.313	0.388	0.702	3	4.47	2
Ruiz C	PHI	C	487	1456	169	379	98	5	30	191	193	188	10	6	0.26	0.347	0.396	0.743	2.75	5.186	2
Ramos W	WSH	C	22	79	5	22	7	0	1	5	2	12	0	0	0.278	0.296	0.405	0.701	0.415	0.414	2
Iannetta C	COL	C	346	1084	145	254	55	8	49	181	171	290	1	2	0.234	0.339	0.435	0.774	2.55	3.663	2
Saltalamacchia J	BOS	C	250	813	102	202	41	1	23	95	78	251	0	4	0.248	0.314	0.386	0.7	0.75	1.412	2
Thole J	NYM	C	90	255	19	73	9	2	3	26	28	30	2	0	0.286	0.357	0.373	0.729	0.42	1.221	2
Hernandez R	CIN	C	1366	4575	532	1211	237	8	149	687	395	654	8	4	0.265	0.323	0.418	0.741	2.947	11.261	2
Napoli M	TEX	C	506	1549	246	389	79	4	92	249	201	463	21	13	0.251	0.337	0.485	0.823	5.8	5.111	2
Barajas R	LAD	C	912	2834	338	676	163	1	109	402	156	498	2	2	0.239	0.278	0.412	0.69	3.25	3.365	2
Mauer J	MIN	C	836	3092	507	1011	201	16	81	472	433	349	35	11	0.327	0.41	0.481	0.891	23	14.477	2
Hanigan R	CIN	C	196	549	59	153	20	1	10	62	81	63	0	0	0.279	0.371	0.373	0.745	0.55	2.52	2
Mathis J	LAA	C	333	954	114	190	36	1	23	117	80	286	7	6	0.199	0.261	0.311	0.572	1.7	0.414	2
Pena B	KC	C	195	450	44	114	25	0	9	49	28	62	2	1	0.253	0.297	0.369	0.666	0.66	0.414	2
Treanor M	KC	C	360	973	85	221	36	3	13	97	99	204	2	3	0.227	0.299	0.31	0.609	0.85	1.308	2
Jaso J	TB	C	114	349	59	91	18	3	5	44	59	41	4	0	0.261	0.368	0.372	0.74	0.427	1.269	2
Gonzalez A	BOS	1B	858	3167	488	900	186	8	168	525	415	661	1	2	0.284	0.367	0.507	0.874	6.3	10.988	3
Teixeira M	NYY	1B	1218	4624	782	1321	302	16	275	906	616	930	15	4	0.286	0.37	0.536	0.906	23.125	16.017	3
Howard R	PHI	1B	875	3237	552	902	159	16	253	748	465	1035	11	4	0.279	0.369	0.572	0.941	20	15.103	3
Votto J	CIN	1B	456	1626	268	511	113	6	90	298	225	348	28	11	0.314	0.398	0.557	0.955	7.411	3.341	3
Sanchez G	FLA	1B	177	601	74	164	39	3	21	89	59	106	5	0	0.273	0.338	0.453	0.79	0.431	1.593	3
Freeman F	ATL	1B	20	24	3	4	1	0	1	1	0	8	0	0	0.167	0.167	0.333	0.5	0.414	0.908	3
Cabrera M	DET	1B	1190	4469	741	1400	298	13	247	879	535	920	27	16	0.313	0.387	0.552	0.938	20	13.025	3
Huff A	SF	1B	1479	5505	754	1556	329	23	229	838	508	805	32	22	0.283	0.343	0.476	0.819	10	11.392	3
Fielder P	MIL	1B	836	2958	476	826	164	8	192	536	459	673	15	9	0.279	0.376	0.535	0.911	15.5	10.954	3
Pujols A	STL	1B	1558	5733	1186	1900	426	15	408	1230	914	646	75	34	0.331	0.423	0.624	1.048	14.508	17.71	3
Konerko P	CWS	1B	1849	6642	971	1861	339	8	365	1156	733	1094	8	3	0.28	0.352	0.498	0.85	12	22.256	3
Murphy D	NYM	1B	204	639	84	176	47	7	14	80	56	97	4	4	0.275	0.334	0.437	0.77	0.422	1.273	3
Trumbo M	LAA	1B	8	15	2	1	0	0	0	2	1	8	0	0	0.067	0.125	0.067	0.192	0.414	0.847	3
Loney J	LAD	1B	624	2205	267	634	125	19	55	353	203	306	25	13	0.288	0.348	0.436	0.784	4.875	1.527	3
Morse M	WSH	1B	237	618	73	180	33	3	21	88	48	145	4	2	0.291	0.342	0.456	0.799	1.05	1.7	3
Lind A	TOR	1B	495	1828	240	497	116	7	80	280	133	390	4	3	0.272	0.321	0.474	0.796	5.15	5.299	3
Pena C	CHC	1B	1073	3620	559	871	171	20	230	650	582	1131	23	14	0.241	0.346	0.49	0.835	9.96	12.416	3
Helton T	COL	1B	1930	6904	1270	2236	527	35	333	1239	1197	973	36	27	0.324	0.424	0.555	0.979	20.275	17.308	3
Smoak J	SEA	1B	100	348	40	76	14	0	13	48	46	91	1	0	0.218	0.31	0.371	0.68	0.419	1.533	3
Lee D	PIT	1B	1829	6527	1026	1843	415	28	312	1019	841	1512	102	47	0.282	0.364	0.498	0.862	7.25	8.965	3
Moreland M	TEX	1B	47	145	20	37	4	0	9	25	25	36	3	1	0.255	0.365	0.469	0.834	0.426	1.075	3
Overbay L	PIT	1B	1138	3889	523	1066	287	10	122	524	511	815	13	6	0.274	0.358	0.447	0.806	5	6.898	3
Kotchman C	TB	1B	645	2088	232	540	121	5	49	284	192	223	9	7	0.259	0.321	0.392	0.713	3.518	2.873	3
Hosmer E	KC	1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414	0.847	3
Wallace B	HOU	1B	51	144	14	32	6	1	2	13	8	50	0	0	0.222	0.263	0.319	0.583	0.418	0.969	3
LaPorta M	CLE	1B	161	553	70	128	27	1	19	61	58	117	2	0	0.231	0.304	0.387	0.691	0.431	1.792	3
Barton D	OAK	1B	371	1234	185	321	71	11	26	136	211	237	10	6	0.26	0.368	0.399	0.767	0.425	1.363	3
Morneau J	MIN	1B	947	3481	531	995	215	14	181	679	396	595	4	7	0.286	0.359	0.512	0.87	15	11.46	3
Nady X	ARI	1B	798	2574	323	713	141	6	93	358	161	534	16	8	0.277	0.32	0.445	0.764	1.75	4.808	3
Hinske E	ATL	1B	1127	3377	514	857	220	17	124	475	406	820	61	20	0.254	0.334	0.439	0.773	1.35	1.884	3
Cano R	NYY	2B	893	3477	508	1074	240	20	116	503	186	411	20	23	0.309	0.344	0.49	0.833	10	10.648	4
Pedroia D	BOS	2B	556	2190	377	667	169	5	54	253	215	184	56	12	0.305	0.367	0.46	0.827	5.75	2.847	4
Phillips B	CIN	2B	891	3387	473	903	164	26	112	442	216	540	125	48	0.267	0.311	0.43	0.74	11.438	9.554	4
Uggla D	ATL	2B	776	2927	499	771	170	12	154	465	363	760	19	14	0.263	0.345	0.488	0.832	9.147	11.339	4
Kinsler I	TEX	2B	618	2381	437	668	142	12	92	318	262	348	106	18	0.281	0.352	0.466	0.818	6.2	6.268	4
Walker N	PIT	2B	127	462	62	133	30	3	12	66	38	94	3	3	0.288	0.342	0.444	0.786	0.437	1.692	4
Zobrist B	TB	2B	447	1516	218	383	74	13	52	223	221	294	48	12	0.253	0.348	0.422	0.769	4.687	2.489	4
Espinosa D	WSH	2B	28	103	16	22	4	1	6	15	9	30	0	2	0.214	0.277	0.447	0.723	0.415	1.605	4
Infante O	FLA	2B	794	2583	326	709	129	24	45	268	170	440	43	21	0.274	0.319	0.395	0.715	2.5	2.748	4
Weeks R	MIL	2B	642	2413	446	610	109	24	89	265	303	648	91	20	0.253	0.336	0.429	0.765	4.5	5.059	4
Johnson K	ARI	2B	644	2246	363	605	133	27	71	277	282	507	42	21	0.269	0.351	0.447	0.798	5.85	3.412	4
Kendrick H	LAA	2B	514	1931	251	570	133	12	32	242	78	327	47	16	0.295	0.323	0.426	0.749	3.3	3.172	4
Barney D	CHC	2B	30	79	12	19	4	0	0	2	6	12	0	0	0.241	0.294	0.291	0.585	0.417	0.972	4
Hill A	TOR	2B	770	2927	398	792	173	8	90	364	216	422	23	12	0.271	0.321	0.427	0.748	5	7.002	4
Cabrera O	SF	2B	1854	7108	946	1947	443	32	118	803	497	687	208	53	0.274	0.321	0.395	0.716	1	4.349	4
Beckham G	CWS	2B	234	822	116	214	53	3	23	112	78	157	11	10	0.26	0.324	0.416	0.741	0.485	2.128	4
Getz C	KC	2B	189	606	74	153	27	4	2	50	49	83	41	5	0.252	0.308	0.32	0.629	0.443	0.414	4
Ellis M	COL	2B	994	3611	512	968	193	21	85	418	336	544	55	22	0.268	0.33	0.404	0.734	6	3.902	4
Turner J	NYM	2B	21	35	3	4	1	0	0	3	5	6	0	0	0.114	0.225	0.143	0.368	0.414	0.993	4
Casilla A	MIN	2B	311	955	125	238	34	8	8	96	77	128	35	3	0.249	0.305	0.327	0.632	0.865	0.414	4
Miles A	LAD	2B	796	2373	298	668	93	15	16	184	137	245	26	15	0.282	0.321	0.354	0.674	0.5	0.414	4
Kennedy A	SEA	2B	1491	4925	624	1355	257	40	71	517	356	739	170	59	0.275	0.324	0.387	0.711	0.75	1.858	4
Hudson O	SD	2B	1140	4167	573	1168	238	55	83	471	414	690	60	22	0.28	0.345	0.424	0.769	1	2.032	4
Utley C	PHI	2B	1006	3735	677	1095	237	28	177	650	423	669	96	13	0.293	0.365	0.514	0.879	15.286	12.747	4
Schumaker S	STL	2B	586	1803	269	525	88	9	20	145	157	221	19	9	0.291	0.348	0.383	0.731	2.75	0.414	4
Herrera J	COL	2B	104	283	39	77	7	3	1	24	29	46	3	3	0.272	0.34	0.329	0.668	0.419	0.605	4
Keppinger J	SF	2B	486	1691	201	477	91	8	26	180	143	118	11	6	0.282	0.338	0.391	0.73	0.419	1.111	4
Sanchez F	SF	2B	844	3163	413	943	200	16	45	347	167	385	13	8	0.298	0.333	0.414	0.747	6	2.811	4
Sizemore S	OAK	2B	48	143	19	32	7	0	3	14	15	40	0	0	0.224	0.297	0.336	0.633	0.4	1.131	4
Weeks J	OAK	2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414	1.098	4
Valencia D	MIN	3B	84	296	29	91	18	1	7	40	20	45	2	0	0.307	0.351	0.446	0.797	0.438	0.53	5
Ramirez A	CHC	3B	1533	5724	792	1613	338	18	289	1029	458	888	15	14	0.282	0.335	0.499	0.834	14.6	10.118	5
McGehee C	MIL	3B	282	989	129	285	59	2	39	175	84	177	1	3	0.288	0.344	0.47	0.814	0.478	1.618	5
Reynolds M	BAL	3B	562	1978	326	479	95	10	121	346	260	767	42	16	0.242	0.33	0.484	0.814	5.333	4.406	5
Beltre A	TEX	3B	1835	6874	912	1889	397	28	278	1008	518	1166	113	39	0.275	0.326	0.462	0.788	14	9.744	5
Youkilis K	BOS	3B	791	2775	501	816	200	14	112	470	412	589	23	14	0.294	0.385	0.497	0.883	12.25	4.1	5
Prado M	ATL	3B	397	1374	208	423	100	8	29	159	105	187	9	7	0.308	0.357	0.456	0.813	3.1	1.278	5
Headley C	SD	3B	416	1502	174	396	80	7	32	160	150	380	31	8	0.264	0.331	0.39	0.721	2.325	1.38	5
Callaspo A	LAA	3B	453	1533	172	427	85	14	21	157	115	127	10	7	0.279	0.329	0.393	0.722	2	1.006	5
Roberts R	ARI	3B	164	398	52	100	21	2	10	35	46	84	7	3	0.251	0.329	0.389	0.718	0.424	0.632	5
Polanco P	PHI	3B	1597	6065	902	1836	306	32	96	631	346	438	76	30	0.303	0.34	0.411	0.752	5.417	3.556	5
Johnson C	HOU	3B	105	363	41	107	22	2	11	53	16	97	3	0	0.295	0.325	0.457	0.782	0.424	0.666	5
Encarnacion E	TOR	3B	652	2250	308	580	130	5	100	337	227	453	21	5	0.258	0.326	0.453	0.779	2.5	3.692	5
Longoria E	TB	3B	430	1606	263	455	121	7	82	302	190	386	31	5	0.283	0.359	0.521	0.88	2	3.08	5
Wigginton T	COL	3B	1059	3704	457	990	211	12	143	501	291	706	33	21	0.267	0.321	0.447	0.767	3.5	5.154	5
Jones C	ATL	3B	2260	8138	1503	2488	493	37	435	1488	1404	1277	147	44	0.306	0.408	0.536	0.944	14	15.082	5
Rodriguez A	NYY	3B	2303	8826	1757	2672	474	29	613	1831	1119	1836	301	72	0.303	0.381	0.571	0.953	32	21.134	5
Sandoval P	SF	3B	345	1277	163	388	88	9	40	176	102	178	8	7	0.304	0.355	0.481	0.836	0.5	1.652	5
Figgins C	SEA	3B	1097	4187	658	1201	169	55	32	376	486	727	322	111	0.287	0.361	0.376	0.737	9.5	1.38	5
Dobbs G	FLA	3B	554	1085	119	283	58	7	31	162	73	216	9	3	0.261	0.307	0.413	0.72	0.6	1.346	5
Descalso D	STL	3B	10	33	6	9	2	0	0	4	2	5	1	0	0.273	0.314	0.333	0.648	0.414	0.414	5
Morel B	CWS	3B	21	65	9	15	3	0	3	7	4	17	2	0	0.231	0.275	0.415	0.691	0.414	0.414	5
Rodriguez S	TB	3B	188	531	75	123	26	3	14	54	38	159	16	4	0.232	0.283	0.371	0.654	0.414	0.768	5
Uribe J	LAD	3B	1256	4357	546	1114	231	41	151	599	264	840	39	37	0.256	0.298	0.431	0.73	5.296	5.426	5
Betemit W	DET	3B	599	1415	182	374	85	4	54	195	149	400	5	6	0.264	0.334	0.445	0.779	1	2.128	5
Rolen S	CIN	3B	1881	6852	1154	1944	480	39	303	1212	859	1312	115	48	0.284	0.364	0.498	0.861	8.167	10.594	5
Hannahan J	CLE	3B	290	856	91	192	53	2	16	90	107	242	4	1	0.224	0.31	0.347	0.657	0.5	0.836	5
Zimmerman R	WSH	3B	743	2886	435	833	193	12	116	449	295	545	22	11	0.289	0.355	0.484	0.839	9.025	4.236	5
Wright D	NYM	3B	1004	3772	639	1149	258	16	169	664	483	800	138	42	0.305	0.384	0.516	0.899	14.25	6.038	5
Inge B	DET	3B	1297	4337	496	1028	201	36	136	564	393	1109	44	38	0.237	0.3	0.394	0.694	5.5	4.916	5
Castro S	CHC	SS	125	463	53	139	31	5	3	41	29	71	10	8	0.3	0.341	0.408	0.75	0.44	1.766	6
Rollins J	PHI	SS	1494	6291	993	1714	366	98	154	662	510	797	343	70	0.272	0.327	0.435	0.762	8.5	9.851	6
Cabrera A	CLE	SS	387	1415	198	402	87	7	18	166	132	255	27	12	0.284	0.345	0.394	0.739	2.025	2.35	6
Gonzalez A	ATL	SS	1386	4988	582	1236	298	29	137	609	267	997	27	21	0.248	0.286	0.402	0.688	2.5	4.005	6
Ramirez A	CWS	SS	440	1607	219	454	65	5	54	215	94	209	40	22	0.283	0.322	0.43	0.752	2.75	3.685	6
Tulowitzki T	COL	SS	554	2095	357	608	116	19	92	338	226	401	42	25	0.29	0.359	0.495	0.855	5.5	6.18	6
Andrus E	TEX	SS	293	1068	160	284	32	11	6	75	104	173	65	21	0.266	0.331	0.333	0.664	0.452	1.484	6
Reyes J	NYM	SS	924	3916	634	1119	191	83	74	379	290	468	331	85	0.286	0.335	0.434	0.769	11	9.604	6
Bartlett J	SD	SS	721	2501	363	702	129	23	29	242	215	398	100	27	0.281	0.338	0.385	0.723	4	3.773	6
Escobar Y	TOR	SS	506	1858	274	537	94	4	33	199	199	225	18	14	0.289	0.358	0.397	0.755	2.9	2.981	6
Escobar A	KC	SS	192	635	79	159	17	11	5	52	40	89	14	6	0.25	0.295	0.335	0.63	0.428	0.414	6
Aybar E	LAA	SS	486	1618	215	444	65	20	14	147	89	220	48	21	0.274	0.312	0.365	0.678	3	2.116	6
Desmond I	WSH	SS	175	607	68	164	34	6	14	77	33	123	18	5	0.27	0.308	0.415	0.723	0.442	1.725	6
Betancourt Y	MIL	SS	810	2890	330	785	162	24	47	307	104	276	26	25	0.272	0.297	0.393	0.69	4.3	3.131	6
Jeter D	NYY	SS	2295	9322	1685	2926	468	61	234	1135	948	1572	323	85	0.314	0.377	0.452	0.83	14.729	13.979	6
Peralta J	DET	SS	980	3652	500	961	208	16	111	494	350	860	9	14	0.263	0.328	0.42	0.748	5.25	4.403	6
Theriot R	STL	SS	663	2452	355	696	96	16	16	182	232	295	104	38	0.284	0.346	0.356	0.701	3.3	4.014	6
Pennington C	OAK	SS	252	815	105	209	42	11	10	76	82	160	40	11	0.256	0.324	0.372	0.696	0.42	1.482	6
Izturis M	LAA	SS	569	1875	284	516	100	17	27	243	180	210	65	20	0.275	0.339	0.39	0.729	3.267	3.145	6
Ryan B	SEA	SS	415	1206	165	312	56	10	9	95	88	166	39	13	0.259	0.309	0.344	0.653	1	1.04	6
Hardy J	BAL	SS	672	2415	323	634	123	11	81	303	217	381	6	7	0.263	0.323	0.423	0.747	5.85	3.159	6
