Teixeira M	NYY	1B	858	3167	488	900	186	8	168	525	415	661	1	2	0.284180613	0.367113345	0.507104515	0.87421786	6.3	8.754
Butler B	KC	1B	177	601	74	164	39	3	21	89	59	106	5	0	0.272878536	0.337878788	0.452579035	0.790457823	0.431	1.698
Gonzalez A	SD	1B	1479	5505	754	1556	329	23	229	838	508	805	32	22	0.282652134	0.343256278	0.475567666	0.818823944	10	11.682
Loney J	LAD	1B	456	1626	268	511	113	6	90	298	225	348	28	11	0.314268143	0.397622907	0.557195572	0.954818478	7.410655	5.01
Pujols A	STL	1B	875	3237	552	902	159	16	253	748	465	1035	11	4	0.278653074	0.36925986	0.572134693	0.941394552	20	12.834
Wigginton T	BAL	1B	1218	4624	782	1321	302	16	275	906	616	930	15	4	0.285683391	0.369656489	0.53633218	0.905988668	23.125	13.89
Fielder P	MIL	1B	1849	6642	971	1861	339	8	365	1156	733	1094	8	3	0.280186691	0.351728814	0.498494429	0.850223243	12	18.21
Sanchez G	FLA	1B	836	2958	476	826	164	8	192	536	459	673	15	9	0.279242732	0.376060872	0.534820825	0.910881697	15.5	9.906
Huff A	SF	1B	624	2205	267	634	125	19	55	353	203	306	25	13	0.287528345	0.347591362	0.436281179	0.783872541	4.875	3.33
Lind A	TOR	1B	20	24	3	4	1	0	1	1	0	8	0	0	0.166666667	0.166666667	0.333333333	0.5	0.414	0.738
LaRoche A	ARI	1B	1190	4469	741	1400	298	13	247	879	535	920	27	16	0.313269188	0.386690647	0.551577534	0.938268182	20	12.546
Dunn A	WSH	1B	1558	5733	1186	1900	426	15	408	1230	914	646	75	34	0.331414617	0.423348879	0.62445491	1.047803789	14.508395	20.274
Barton D	OAK	1B	1138	3889	523	1066	287	10	122	524	511	815	13	6	0.274106454	0.358409091	0.447158653	0.805567744	5	6.546
Howard R	PHI	1B	8	15	2	1	0	0	0	2	1	8	0	0	0.066666667	0.125	0.066666667	0.191666667	0.414	0.69
Cabrera M	DET	1B	100	348	40	76	14	0	13	48	46	91	1	0	0.218390805	0.30964467	0.370689655	0.680334325	0.419	1.314
Konerko P	CWS	1B	1073	3620	559	871	171	20	230	650	582	1131	23	14	0.240607735	0.34578772	0.489502762	0.835290483	9.959996	11.73
Lee D	ATL	1B	1829	6527	1026	1843	415	28	312	1019	841	1512	102	47	0.282365558	0.364277959	0.497931668	0.862209627	7.25	15.666
Votto J	CIN	1B	51	144	14	32	6	1	2	13	8	50	0	0	0.222222222	0.263157895	0.319444444	0.582602339	0.418	0.786
Overbay L	TOR	1B	1930	6904	1270	2236	527	35	333	1239	1197	973	36	27	0.32387022	0.423774843	0.555040556	0.978815399	20.275	16.674
Davis I	NYM	1B	496	1832	240	497	116	7	80	280	133	390	4	3	0.27128821	0.320610687	0.473253275	0.793863962	5.15	4.53
Pena C	TB	1B	47	145	20	37	4	0	9	25	25	36	3	1	0.255172414	0.364705882	0.468965517	0.8336714	0.426	1.122
Cantu J	TEX	1B	645	2088	232	540	121	5	49	284	192	223	9	7	0.25862069	0.321052632	0.391762452	0.712815084	3.5175	3.042
Kotchman C	SEA	1B	371	1234	185	321	71	11	26	136	211	237	10	6	0.26012966	0.36816609	0.398703404	0.766869494	0.425	1.938
Glaus T	ATL	1B	162	557	70	129	28	1	19	62	58	119	2	0	0.231597846	0.304065041	0.387791741	0.691856782	0.4314	1.602
Berkman L	NYY	1B	948	3485	531	995	215	14	181	679	396	595	4	7	0.285509326	0.35841278	0.511047346	0.869460126	15	9.378
Helton T	COL	1B	831	2712	379	756	166	23	120	471	406	728	13	16	0.278761062	0.372674792	0.489675516	0.862350308	2	6.45
Branyan R	SEA	1B	46	83	11	21	3	1	4	14	9	20	0	0	0.253012048	0.326086957	0.457831325	0.783918282	0.42	0.882
LaPorta M	CLE	1B	798	2574	323	713	141	6	93	358	161	534	16	8	0.277000777	0.319561243	0.444832945	0.764394188	1.75	5.154
